6239.M117.2.1	P41932
6239.C37C3.12	Q8I7H8
6239.ZK783.1	I6ZKW5
6239.T28F2.1	O01660
6239.ZK1053.6	O02340
6239.F41B4.3	Q966J4
6239.Y60C6A.1	Q9UAZ5
6239.C12D12.3	Q17919
6239.F09F7.6	Q19276
6239.K09C4.9	Q21377
6239.Y46H3C.7	Q7KX43
6239.F54D10.5	Q9TZ88
6239.T07A5.5	Q6BEV3
6239.C54E10.1	O45312
6239.T10G3.3.2	P92020
6239.F52A8.5.1	Q20634
6239.C33A11.2	Q93319
6239.K07H8.9	O45180
6239.B0547.2	P91000
6239.F55G1.5	Q20847
6239.F25B4.1.1	Q22968
6239.ZK856.7.2	Q23642
6239.Y51A2D.19a	H7BRM3
6239.B0281.6	O16613
6239.F15A4.6	O17815
6239.F36F12.1	O76403
6239.F02C12.1	Q19107
6239.C50H11.17	O16484
6239.C31B8.2	O16904
6239.Y17D7B.4.1	O62404
6239.C16C8.14	P91053
6239.F38E1.3	Q20160
6239.Y34B4A.7.1	Q9N470
6239.ZC196.4	O01628
6239.C50H11.13	O16474
6239.F16D3.6	Q19494
6239.F56H6.13	Q9GS12
6239.F09C6.10	Q9XV99
6239.T08H10.4	Q22351
6239.T09E11.3	Q9XVF9
6239.C25A1.15	Q9XVR9
6239.W01A8.8	Q09EE8
6239.Y64G10A.6	Q9NA64
6239.C40A11.6	Q9TZA8
6239.F44F1.4	O02263
6239.T24D5.2	Q22736
6239.C01G10.17	Q2XMZ3
6239.T22H9.1.2	Q8MNX1
6239.Y43F4B.10.1	Q8MPP5
6239.C25A6.1	Q94371
6239.Y22D7AL.3	Q965P7
6239.Y37B11A.3	Q9BKQ2
6239.T09A12.4c	Q9GTE0
6239.Y57A10A.8	Q9NA84
6239.F54D1.1	Q20763
6239.T25G12.4	Q94145
6239.E04F6.11a	Q95QN8
6239.Y43C5A.6a	Q9XTK2
6239.Y51H1A.4	Q9XWJ8
6239.F25H8.5c	Q9Y044
6239.Y106G6H.8	Q9U2Z9
6239.W08E3.4	P91915
6239.C47E12.9	Q18676
6239.Y39H10A.6	Q965W8
6239.C25A11.2.2	Q18140
6239.F16C3.3	Q6BES0
6239.K08D12.2	Q966I6
6239.Y55B1BR.5	Q4W5R8
6239.M162.15	G3MU73
6239.F26A1.1	Q19805
6239.Y39B6A.18	Q8MYN9
6239.T15D6.1	G5EEN0
6239.T23F6.5	G5EFZ0
6239.F56C3.4	O61754
6239.F32A7.4	P91862
6239.T10G3.2	P92019
6239.T13F2.6	Q94049
6239.F11E6.6	Q9U3J7
6239.Y26D4A.8	Q9U2P6
6239.Y47D3A.34	F3Y5R5
6239.C14C6.6	O44670
6239.M7.10	Q21588
6239.Y54F10AR.2	Q9N3C2
6239.T05F1.2	Q9XUR4
6239.F57E7.2	Q9XXT4
6239.F15B9.11	D0FY27
6239.Y57G11B.1	G5EF79
6239.C13C4.4	O01926
6239.T09E11.10	O02310
6239.C33G8.3	Q18400
6239.F35H8.4	Q20083
6239.K02F3.9	Q21151
6239.VB0395L.1	Q566A9
6239.Y47D3A.20	Q7YXC5
6239.Y59H11AR.4	Q9N321
6239.W05B2.7	G5EEQ0
6239.Y92H12A.1	O17546
6239.C49F5.6	O17684
6239.C10C5.2	Q17896
6239.C54G7.1	Q18858
6239.F28H7.2	Q19890
6239.Y87G2A.1	Q9U1Q6
6239.Y116A8A.4	Q9U2W3
6239.C09E7.4	Q9N5Z0
6239.C06A8.1a.2	G8JXY2
6239.C18D4.4a	D6R8X5
6239.F48C1.1	O01574
6239.B0511.6.2	O61815
6239.ZK418.3	Q23481
6239.Y46G5A.8	Q9U2F8
6239.F28A10.9	Q95YB7
6239.Y116A8C.25	Q9U2U7
6239.Y40A1A.2	Q8IU11
6239.C30A5.16	G4RUJ8
6239.F53F4.14.2	G5EC45
6239.ZK380.5	Q3V5H5
6239.F21A3.2	H2FLJ5
6239.Y13C8A.4	H2L009
6239.T06F4.2b	H2L0J1
6239.Y51A2B.6	O45958
6239.C18C4.1b	A8R9U0
6239.F19B10.4	C7IVQ8
6239.F27D9.4	Q19841
6239.T24F1.5	Q22746
6239.F01E11.3	Q5WRR7
6239.C31H5.7	Q7YTS8
6239.W03H9.1	Q9U353
6239.F52F10.2	Q9UAR0
6239.T10C6.2	O18081
6239.F33D11.8	O44779
6239.C54D10.5	Q18828
6239.H14E04.3	Q9TYP4
6239.Y7A9D.1	O18259
6239.D1086.7	O62125
6239.F59A3.8	P91360
6239.W06D11.5	Q23199
6239.Y17G7B.8	Q9XXI8
6239.C16C8.13	P91052
6239.C24H10.1	Q18135
6239.T18D3.6	Q22543
6239.C25A1.5.2	Q9XVS0
6239.T22B2.3	O45193
6239.Y39B6A.37	Q8MYM7
6239.F13E9.14	A1Z6D0
6239.T07A9.14	Q1XFY8
6239.F14D7.14	A7LPH9
6239.H19N07.2c	G3MU79
6239.C33A11.1.3	G5EDE9
6239.K03D7.9	O45654
6239.F56C3.9	O61761
6239.K02B12.2	Q21114
6239.F01D5.2	Q9XVB0
6239.F28H1.1	O01543
6239.ZK1010.5	O18284
6239.ZK455.5	Q23499
6239.W04A4.6	Q7YWR9
6239.T04B8.1	O44849
6239.C47D12.5	Q18665
6239.K08D9.2	Q9TXN2
6239.Y51H4A.937	D3DEM5
6239.C01G10.1	Q93161
6239.C43C3.4	D7SFL7
6239.F55A12.6	O01754
6239.F21C10.6	Q19664
6239.F28B4.3.2	Q19853
6239.F41F3.3.2	Q20281
6239.C27F2.9	Q95QU1
6239.Y54F10BM.13	Q95XK5
6239.F46F5.7	Q9TXY2
6239.ZK177.2	U4PC52
6239.T22B3.3	Q22660
6239.T01G1.4.1	Q5FC21
6239.R13H4.6	P90952
6239.T03G6.1	Q22128
6239.E01G4.6.1	Q2Q325
6239.F49C5.10	Q564T9
6239.F58D5.9	Q7YTM2
6239.C27D8.2	Q93289
6239.F53B6.4	Q9XVN1
6239.R12E2.7.2	O61784
6239.R12E2.13.1	O61793
6239.T28A8.5	Q9XU08
6239.F37C12.10	C8JQP1
6239.ZK1248.19	Q7JPD8
6239.K04C1.6	G5EEF5
6239.cTel3X.1	G4RS45
6239.C01G12.3	O45235
6239.F53F8.5	O62258
6239.C46G7.5	Q4PIS1
6239.C31H5.1	O62084
6239.W01D2.6	Q7YTK2
6239.H19N07.2c	G3MU83
6239.C25A1.7a	Q7Z261
6239.Y37F4.4	Q95XA2
6239.Y47G7B.2	Q9TZD6
6239.Y74C9A.1	Q9N4D5
6239.T16G12.8	Q9U366
6239.H12I13.3	Q9N5M7
6239.F19H6.4	Q19605
6239.F18E3.11	Q6LCK7
6239.H04M03.11	Q9TYR2
6239.ZK994.6	O44088
6239.T24C2.3	Q22726
6239.F23H11.7	O01920
6239.K02E2.6.2	Q9U3C4
6239.Y37F4.7	Q75KS1
6239.Y82E9BR.11	Q9BKS8
6239.F14F3.5	A6ZJ57
6239.C50B8.5	G5EFR2
6239.C56G2.15	Q09518
6239.F19H6.5	Q19602
6239.C43H6.9	Q9BK19
6239.Y40H7A.11	Q9XW97
6239.F57C7.4	Q20945
6239.F45C12.9	O16738
6239.C49A1.10	O45310
6239.C55A6.4	P90779
6239.R102.10	Q6A4J7
6239.F57A10.5	Q9GTF1
6239.F11E6.5.1	Q9XVQ9
6239.W03B1.5	O45885
6239.F08C6.5	Q19199
6239.F20A1.8	Q19613
6239.F55B11.6.1	Q564S1
6239.Y37E11AR.7	Q86FM3
6239.T02H6.8	Q9N5F0
6239.VC5.1	Q9TYU2
6239.F13H8.15	W6RQZ9
6239.C04E12.2	O76679
6239.R11G10.3	G5EEI3
6239.D1054.10	Q18943
6239.Y38E10A.28	Q5GMH8
6239.Y22D7AR.14	Q86MI8
6239.F23A7.5	Q93554
6239.T09A12.4c	Q9GTD9
6239.F52D2.7.2	Q9TXM6
6239.Y39F10A.3	Q9TYN8
6239.Y40B1B.8.2	Q9U2J0
6239.Y113G7B.4	D5L4N0
6239.M28.10.1	Q8I116
6239.T12E12.6	A5A631
6239.Y55F3BR.10	A0A9S0
6239.B0391.14	F5GUF2
6239.T24E12.13	G4SDC8
6239.B0222.11	Q4PIU5
6239.K02F6.4	O16632
6239.ZK783.3	Q23589
6239.R08A2.1	Q9U396
6239.C34C6.10	E5QCG3
6239.C18B12.6	G5EEW1
6239.C49A9.4.1	O44152
6239.C12D5.4	Q17925
6239.K04G7.1.2	Q21234
6239.F10G2.4	Q22954
6239.Y97E10AR.4	Q9N2U7
6239.Y54E10BR.2.3	Q9N3C8
6239.F55A3.2	Q9N5R8
6239.C08F11.3	O62049
6239.F43C11.6	Q9U5B9
6239.K10F12.7	Q8IA73
6239.T15D6.3	Q962C4
6239.Y45G12C.10	Q9N4Y5
6239.F35C12.2a	O62306
6239.B0303.16	Q2V4X6
6239.K09C8.7	Q7YWY3
6239.Y55F3AL.1	Q8TA58
6239.T28F3.9	G5EBQ5
6239.Y116A8C.38b	H2KML0
6239.F01G10.6	O17764
6239.K11D12.6	O44621
6239.W09G12.6	O45197
6239.B0554.7	P91007
6239.Y38H8A.1	Q9XXR8
6239.F28B1.4	O45414
6239.R151.7a.2	Q9Y1A0
6239.F14H3.14	A7LPJ3
6239.DY3.8.1	G5EGC1
6239.Y66C5A.1	Q56VZ6
6239.F23A7.3	Q93556
6239.T24C4.4	Q9TZ35
6239.F13D12.5	Q19393
6239.F14F11.2	Q19465
6239.F54C9.7	Q20756
6239.F53G12.1.2	Q94149
6239.T23F6.1	Q9XU68
6239.C43F9.5	Q9XUG6
6239.T23G11.4	Q9XVH9
6239.Y43F8B.11	Q9XWY1
6239.R10F2.4	O01910
6239.F54B11.8	Q20746
6239.ZK265.3	Q94401
6239.K04A8.3	Q94257
6239.F28A10.5	Q95YB1
6239.F36D1.12	B5BM38
6239.Y51H4A.23	Q9U259
6239.C47A4.1	Q9U3L9
6239.F55G7.3	Q20857
6239.C53B7.6	Q18808
6239.C44C1.6	Q8MQA5
6239.C01A2.6	O02210
6239.K05F6.8	O44867
6239.F30A10.9.2	Q93638
6239.Y49F6C.7	Q9TYJ4
6239.T09D3.5	Q23035
6239.C52E4.12	C9IY32
6239.F42A9.11	D5MCP0
6239.K08C7.6	G5EBP0
6239.Y70D2A.1	G5EGH5
6239.K04C2.5	Q21211
6239.C04E12.10	O76682
6239.F22B5.6	Q19710
6239.C28D4.7	Q9NAR2
6239.Y105E8B.5	Q9NF11
6239.2L52.1	A4F336
6239.F45E4.6	Q94229
6239.Y73B3A.3	Q95XE8
6239.Y73C8B.3	Q9N4E2
6239.Y102A5C.27	Q9XX67
6239.Y22D7AL.11	Q965P8
6239.F20E11.7	Q9XV87
6239.C35B1.9	D3NQ88
6239.T05B9.2	Q22214
6239.Y50E8A.2	Q9NAF5
6239.Y71G12B.35	C0VXW0
6239.T08A11.1	G5EBK0
6239.K02E7.11	O17257
6239.ZK154.1	Q94312
6239.Y47H9C.8	Q9U2B1
6239.F13D12.8	Q9XVX4
6239.Y26G10.6	C1P664
6239.F43C11.11	Q9U5B2
6239.C16C8.21	G4S0D5
6239.R12B2.8	Q4PIX2
6239.K08E5.5	B2MZB3
6239.F07A11.1	Q19129
6239.R08E5.4	O01595
6239.F38B2.3	Q20139
6239.F39H12.3	Q20199
6239.C05E7.1	Q9U3R5
6239.F36D3.1	O45458
6239.F56H6.3	O45582
6239.T20D4.7	P91468
6239.F01F1.11	Q19090
6239.ZK809.3.1	Q23597
6239.Y69H2.14.1	Q8I4C0
6239.C02G6.3	Q194S6
6239.Y26G10.7	C1P665
6239.F56D2.8	O01420
6239.F14H3.9	O45369
6239.Y57A10C.10	O62494
6239.ZK688.10	Q3S1N8
6239.T24E12.11	O44883
6239.F16G10.10	O76595
6239.Y57G7A.5	O76621
6239.R06C7.2	Q21772
6239.C46C11.3	Q966P3
6239.K09G1.3	Q9XVL2
6239.T10D4.1	Q1ENI7
6239.T15B7.17	O17028
6239.F26C11.4	Q565D0
6239.T01G1.1a	G5EFJ0
6239.R13A5.15	D7UU25
6239.K08E5.6	D9N127
6239.B0034.1	Q10910
6239.K03C7.3	Q21188
6239.T07D1.3	Q22303
6239.C52A10.3	Q95YC2
6239.Y55F3AM.11	Q9N365
6239.Y17G9B.2	Q9N573
6239.ZK688.11.1	Q27GV3
6239.ZC334.13	B5BM43
6239.F11A10.7	Q95QL3
6239.ZC196.7	Q9BK21
6239.Y53G8B.1	Q9N4S0
6239.F53C3.5	Q9TXT4
6239.F58H7.5	O45091
6239.C17H11.1	P91064
6239.K09D9.1	Q9N5I0
6239.K01A2.5	Q9TZ58
6239.Y71A12B.11	Q9NEN0
6239.W02B12.16	D7SFM1
6239.F58F6.3	O44172
6239.T25F10.3.2	Q23046
6239.C33G3.5	Q93322
6239.F46C3.7	B6VQ63
6239.R12B2.3	Q21953
6239.Y40B10A.8.1	Q5VKS9
6239.Y102A11A.6	Q95XJ9
6239.F18E9.3	Q19568
6239.F28B12.1	Q19850
6239.F53F4.1	Q20726
6239.F15A8.1	O02149
6239.C44H9.4	Q18633
6239.F58E6.8	Q20984
6239.R05H5.7	Q21766
6239.Y56A3A.19	Q9U241
6239.R02F2.5	Q21648
6239.Y54F10AM.5.2	Q9BL03
6239.F57C2.4	O45596
6239.C25H3.11	Q9BIA3
6239.W01D2.2b.1	Q9GTE9
6239.B0524.5	Q9N5Z8
6239.Y59A8B.8.2	Q9NEQ8
6239.Y39A1A.3	G5EEN7
6239.Y71G12B.12a.2	Q3V5I8
6239.Y49G5A.1	Q9UAZ2
6239.F25H5.3e	Q7JL40
6239.C06A6.7	Q7JP64
6239.C54D10.10	G5EBJ3
6239.F01G10.7	O17766
6239.C33D12.3	Q7KPB1
6239.C16D9.9	Q95Q85
6239.ZK550.3	O62512
6239.Y15E3A.3	Q9U2R4
6239.R02D5.8	A8WHS8
6239.K03B4.9	H2L021
6239.Y71H2AM.9	Q3V5J4
6239.F28E10.5	A3FPI8
6239.W08D2.8	G5EBM6
6239.ZK637.15	Q23556
6239.B0272.4	H2B4M6
6239.T23B7.2	Q3S1M0
6239.C16C8.22	G4S0D7
6239.F19B6.1d	H2L2A8
6239.F46F11.11	Q4TT82
6239.F19D8.1	I3VM46
6239.C06B3.1	Q17700
6239.F01G12.1	Q19100
6239.C48B4.13	Q7YX67
6239.C11E4.8	Q7YX70
6239.K09H11.15	E3W723
6239.F11A5.4	I7FW46
6239.M01E11.6	Q9NL41
6239.F58D2.5	G5EFH9
6239.F56D6.11	Q4R115
6239.C24B9.10	O76439
6239.Y39A1A.23.2	Q9NBJ6
6239.T14F9.4a	Q9U9Q9
6239.C49C3.15	Q9XUF1
6239.C13C4.8	E2JL08
6239.C05E4.12	E4MVD0
6239.F40F4.6	Q20219
6239.Y57E12AL.2	Q9N338
6239.Y102A5C.40	B1GRN6
6239.W04G3.13	D0VWN4
6239.C55C3.3	Q18866
6239.K01B6.4	Q7YWX6
6239.C10G8.2	Q94164
6239.Y41D4B.14	Q95Y14
6239.Y23H5B.5	Q9N477
6239.F47D2.11	E9P850
6239.C53A3.2	O44538
6239.C17H12.3.1	O45085
6239.C33B4.2	Q09492
6239.W06G6.10	Q9U341
6239.Y38A10A.2	Q9UAX6
6239.F09C6.12	Q564U8
6239.T04C12.7	Q7YWW4
6239.F57F5.3	Q20951
6239.W02A2.9	Q52GX7
6239.F18C5.9	Q95QK4
6239.C16D2.2	D6VPA4
6239.Y45G5AM.6	Q9GUJ2
6239.Y43F8B.9	Q9XWX1
6239.F49C12.2	Q20580
6239.Y113G7A.12	Q6EUT5
6239.Y48G9A.7	Q9N3M9
6239.T08D2.8	A4F325
6239.R04A9.9.2	E5QCF0
6239.T28B4.2	O17343
6239.W04H10.1	O44852
6239.ZC239.3	P91559
6239.Y8A9A.3	Q9TYK6
6239.F33H2.2	O62219
6239.T27A3.7	P91501
6239.K12C11.6	A4V4W6
6239.K09C6.3	O16944
6239.K04G2.9	Q21228
6239.R09E10.1.3	Q21876
6239.Y116A8C.29	Q9U2U2
6239.C47A4.5	Q9U3L6
6239.C15H11.1	Q9XVS6
6239.T24E12.1	O44885
6239.ZK1193.2	Q23409
6239.C04H5.6	Q9TX85
6239.T03F1.5.1	P91420
6239.Y57A10A.27	Q9U210
6239.F49E11.2	Q20601
6239.Y61A9LA.12	Q7KX06
6239.T13G4.7	Q966F2
6239.C35D10.5	Q18485
6239.H12D21.6	Q9XTW8
6239.F55B11.4.2	O17890
6239.T27E4.7.2	Q23055
6239.F25D7.4.1	A9UJN7
6239.Y113G7A.13	G5EF16
6239.F15E6.4	O44495
6239.T20G5.13	Q8T3C6
6239.R04B5.11	Q21708
6239.T21H3.5	O16306
6239.T07G12.2	O18061
6239.C09B9.7	P90742
6239.F31E8.4	Q19936
6239.T11B7.5.1	Q22390
6239.Y105E8A.3	Q8WQB6
6239.W09C3.6	Q94377
6239.Y45G5AM.2	Q9GUI6
6239.Y54E5A.5	Q9XWK2
6239.F13D12.9.1	K8ERZ6
6239.C49G7.3	O16226
6239.C17H1.5	O45256
6239.C28A5.2	Q18270
6239.Y51A2D.8	Q9XXQ7
6239.Y37E11AL.12	D3KZG6
6239.C08E8.3	O62042
6239.M03D4.3	Q21491
6239.H41C03.3.1	O76634
6239.C46C2.2.1	Q18655
6239.F20C5.2b	Q19633
6239.C08B6.11	Q8MQE5
6239.F21G4.1	Q93550
6239.C18D11.3	Q9XTZ3
6239.F22E5.1	O16719
6239.F30F8.1	Q93649
6239.Y73F8A.23	Q9NA49
6239.T12G3.7	G5EFW0
6239.F13E6.6	Q6T5A2
6239.ZK973.9	Q9N4L9
6239.D2023.4.2	O17731
6239.K10G9.2	Q21425
6239.W03D8.5	Q1XFY6
6239.C55A1.9	O17715
6239.Y32B12C.1	Q9XX08
6239.H14N18.2	O61979
6239.F29A7.4	O16206
6239.F43G6.4	Q20373
6239.T06E4.8	Q22262
6239.R11G1.2	Q2L6W8
6239.F53F10.4.2	Q94143
6239.Y77E11A.3	Q9N4B0
6239.C54C8.2	O02230
6239.T16A1.2	P91451
6239.K09E9.3	Q93879
6239.F38B2.2	Q20138
6239.R12C12.4	Q21958
6239.F40H3.5	A7UFE0
6239.H19N07.2c	G3MU81
6239.T26E3.6	O45828
6239.R11.2	O62346
6239.B0554.1	P91008
6239.F15D4.5	Q93513
6239.Y73B3B.3	Q95XD9
6239.Y9D1A.2	Q9TYK8
6239.Y15E3A.4.1	Q9U2R3
6239.T09A12.2b	H2KYJ6
6239.C14C11.1	Q17980
6239.F53A9.7	Q20692
6239.C33D12.2	Q22904
6239.Y51A2D.17	Q9GTD7
6239.Y19D10B.4	Q9N569
6239.ZK896.5.2	Q9XUA8
6239.Y43F4A.3	O45929
6239.T06E4.9	Q22263
6239.Y54E2A.5	Q9XWI9
6239.F55G11.1	G5EBG5
6239.Y37E11AL.7	Q965Y1
6239.C32H11.3	Q9XUH8
6239.Y22F5A.3b	A5PEW5
6239.F40G9.5	C0Z1Y6
6239.K06B4.4	G5EBI5
6239.C55A1.15	Q3S1I3
6239.Y97E10B.1	Q965R1
6239.Y75B8A.32	Q9XW77
6239.Y53F4B.51	D2N114
6239.F13E9.19	D3KFU2
6239.ZC101.1	G5EDZ0
6239.Y53C12A.8	Q564Q3
6239.H04D03.3	O45608
6239.B0496.6	Q17518
6239.Y38F2AR.9.1	Q95XS2
6239.E01A2.8	B1V897
6239.T27E4.1	Q23056
6239.ZK678.3	Q94412
6239.F44A6.2.2	Q9GTC3
6239.M6.4	Q21577
6239.E01G4.6.1	Q2Q330
6239.MTCE.12	Q85PL3
6239.F59C6.2	Q93828
6239.F12E12.6	Q9BLC2
6239.T05H4.13c.2	Q86S57
6239.F35F10.4	Q9GYU0
6239.Y81B9A.4	Q3V5K8
6239.M106.8	B1Q251
6239.T27E7.9	Q7YWS1
6239.ZK783.5	Q7Z141
6239.Y105E8A.27	Q7YTU3
6239.T01B7.9	Q7YWU0
6239.C53D6.8	Q7YX58
6239.Y24D9A.7	Q9N555
6239.Y39F10A.1	Q9TYP0
6239.ZK783.1	I6YQ16
6239.M05D6.9	Q7YWZ3
6239.R13H9.5	Q966G2
6239.F53G12.4	O01796
6239.R13D11.1	O17016
6239.B0454.9	O17173
6239.F45E1.1	Q09984
6239.T07F12.2	Q22322
6239.T26C5.2	Q22815
6239.C47D2.1	Q22923
6239.F23F1.10	Q7KQ33
6239.F49H12.5	Q9N5S7
6239.K04F1.1	Q9TXL6
6239.C47E8.1	Q18686
6239.ZK792.5	Q23591
6239.F30H5.5	Q2XN20
6239.F47B8.1	Q20526
6239.M57.1	Q9TYX9
6239.Y39A1B.3	Q9U2M1
6239.K07G5.4	Q21300
6239.T05A10.1m	Q6TPF2
6239.Y51H7C.9	Q95XY8
6239.R05D7.1	Q9XVK8
6239.W02B8.1	K8FE07
6239.T22B2.2	O45194
6239.M05B5.5a	Q17326
6239.Y6G8.8	G5EE30
6239.W09H1.3	O45901
6239.R11H6.5	O62349
6239.ZC190.6	O76701
6239.C01F1.6	Q17555
6239.T22C1.6	Q22666
6239.R02E4.1	Q2L6X3
6239.Y56A3A.30	Q9U234
6239.F57C12.5e	Q5KQS9
6239.D1086.19	A5JYW8
6239.C23H4.8	Q564Y0
6239.BE10.5.1	Q58A90
6239.C48E7.1	O02082
6239.F54E7.9	Q95QE8
6239.F57G8.7	Q9XU92
6239.K09C8.9	B6VQ69
6239.C02D5.4	D7SFI3
6239.T20D4.3	P91472
6239.F26A1.9	Q19797
6239.K12G11.2	Q58QG3
6239.Y22D7AR.10	Q9BKX4
6239.Y22D7AR.7	Q9BKX7
6239.W09D10.5	O18184
6239.C16A3.2	Q9TY00
6239.T16G1.13	C9IY38
6239.F31B12.1a	G5EEJ6
6239.B0491.8a	G5EEX0
6239.F58B4.7	B1Q260
6239.C51F7.2	G5EF81
6239.F29B9.1	Q9GYH9
6239.F31F7.2	O01545
6239.F32B6.3	O45431
6239.F20D6.12	Q5WRR5
6239.Y105E8A.29	Q7YTJ0
6239.T13F3.7	Q7YTK5
6239.K06H6.4	O17105
6239.F25E5.3	O76653
6239.Y110A2AL.5	Q9N4A0
6239.ZK622.4.2	Q95PW6
6239.Y69A2AR.28	Q95XH0
6239.Y69A2AR.21	Q95XJ1
6239.W08D2.8	Q9TYI7
6239.F38A1.11	A4F307
6239.F44F4.15	D1MN67
6239.F19B10.10.2	O02075
6239.C18H9.5	Q09484
6239.Y57A10A.4	Q9NA88
6239.F19B2.7	Q9XXS5
6239.C17A2.2	O16536
6239.C41C4.9	Q7YX62
6239.F44E5.1.2	Q9XU97
6239.R12G8.1	O45720
6239.T03F6.4	O45741
6239.Y49F6B.14	Q4W5S7
6239.W05B10.6	D9N136
6239.Y32B12C.3	Q9XX06
6239.C14B1.12	C0P279
6239.C34F6.9	O17646
6239.F31C3.3	O62191
6239.D2030.12	Q7YTQ0
6239.M02B1.4	Q93893
6239.Y75B8A.30	Q94375
6239.R03G8.6	Q9XVV9
6239.W09C2.8	C1P631
6239.Y80D4G.1.1	F2ZZU1
6239.C05G5.3	Q17677
6239.R07E5.8.2	Q21829
6239.T20G5.8	Q22614
6239.Y54G11A.1	Q9XVZ7
6239.Y17G7B.17	Q9XXH7
6239.F41E7.2.1	G5EFS0
6239.R07B1.13	B5U8L3
6239.F57G4.10	D9N149
6239.ZC116.5	E0AHB7
6239.C44B11.1	O01908
6239.W03D8.9.2	O45006
6239.F31A9.2	Q19924
6239.Y11D7A.9	Q9XWR3
6239.C32D5.14	Q27GU5
6239.R09A8.5	Q21856
6239.C12D8.15	Q7YTS2
6239.C04F5.1	E7FKX6
6239.K10D11.6	O17949
6239.F53F8.4.2	O62261
6239.C05C9.2	Q17655
6239.D1005.1.2	Q2Q3C7
6239.ZK287.9	Q7YWN0
6239.MTCE.12	Q85PL2
6239.W09D12.1	Q23227
6239.C01G10.15	Q7YX84
6239.B0284.4	Q17468
6239.Y48G1C.12	Q2WF61
6239.ZK1127.13	E1B6Q6
6239.H12C20.6a	Q86PJ8
6239.K01D12.8	Q21091
6239.ZK666.2	Q23560
6239.Y54G2A.38	Q60F72
6239.F02D8.5	Q7YX51
6239.C33F10.4	A8WFK3
6239.C03H5.9	E4MVC7
6239.Y57G11C.40	Q7YTI7
6239.F45D11.5	Q8MYD5
6239.F13A2.1	O16896
6239.C04G6.6	Q17640
6239.F09E5.9	Q19255
6239.F41C3.6	Q20262
6239.C49H3.4	Q9GYQ8
6239.F46F5.14	Q9TXX5
6239.Y75B8A.8	Q9XW73
6239.F25H9.6	P91988
6239.F41C6.3	Q20268
6239.F53F4.16.2	Q6BES8
6239.F53B7.7.2	Q7YX03
6239.F19D8.2	Q93530
6239.Y9C9A.1	Q9N2S5
6239.C18D4.3	O45261
6239.R13H4.5	P90951
6239.C04E7.4	Q8MQF0
6239.Y54E2A.9	Q9XWI4
6239.T28A8.6	Q9XU04
6239.F20B6.9	Q95ZV1
6239.Y116F11B.11	Q9GRV6
6239.F10B5.8	Q9U3K2
6239.F52B11.5	Q9XUF0
6239.Y106G6G.4	Q9XWA9
6239.C11G10.1	Q17903
6239.F36F2.5	P90975
6239.ZK1025.3.2	Q9XXL6
6239.C33D3.5	G5ED69
6239.C35D6.3	O45288
6239.F55A8.1.1	Q6S9C1
6239.Y108F1.5	Q8MXK2
6239.K11D12.9	O44624
6239.E02H9.7.1	Q9TZA1
6239.R07G3.8	Q09387
6239.C01F1.1	Q17558
6239.F26B1.5	P91273
6239.F10E7.6	Q19303
6239.ZK430.5	Q23491
6239.Y55B1BL.1	Q9N381
6239.F54A3.6	Q9N4J9
6239.W02H5.5	Q9N5D2
6239.C39B5.6	Q9N5X5
6239.Y73C8C.3	Q9TXW6
6239.C03H5.7	O16655
6239.T05F1.7	O18032
6239.T23F1.5	O18117
6239.F21F3.6.1	P91269
6239.F32H2.8	P91872
6239.C25A8.1	Q18145
6239.C25G6.1	Q18180
6239.F39F10.3	Q20192
6239.R06A4.10c	Q6QWI5
6239.W02D9.7	Q9XVG9
6239.F54B3.4	B7WN74
6239.F48G7.9	O44588
6239.K03D10.3	Q9U3C3
6239.C18E9.9.1	Q18089
6239.Y19D10A.1	Q966D0
6239.C06E7.88	C4RVF5
6239.C24B9.7	O76435
6239.F59A3.12	P91357
6239.B0222.5	Q17457
6239.Y54G2A.37	Q688Z5
6239.T22D1.4	Q9GZH4
6239.C14A6.6	Q9XVE4
6239.F13G11.3	Q067X2
6239.T05E8.3	O01598
6239.R09F10.8.2	Q23031
6239.Y42A5A.5	Q7YWR3
6239.R151.8	Q9UA09
6239.C18E3.6.2	O02096
6239.F54C1.6	P91327
6239.T20F5.5	P91481
6239.C08B6.6	Q17822
6239.M163.8.2	Q6BES2
6239.R05C11.3.2	Q9TYP9
6239.C14A6.5	Q9XVE3
6239.F40G12.4	Q20250
6239.R13A1.5	Q95ZQ7
6239.T13G4.5	Q966F4
6239.F41E6.1	D1YSH2
6239.F19B10.5	O02067
6239.F55H12.4	P90889
6239.B0432.11	P90995
6239.C02F5.14	Q4PJ10
6239.K11B4.1.1	G5ECC9
6239.F58B3.4	Q20969
6239.Y66C5A.2	Q56VZ5
6239.T05A10.1m	Q6TPG1
6239.R193.3	Q9N5F5
6239.K09F6.3	O16728
6239.ZK218.8	O46002
6239.K12D12.4a	Q21438
6239.F20D12.7	Q95QK1
6239.T06F4.2b	Q9BMK8
6239.F55G11.7.2	Q9XUD5
6239.Y11D7A.19	B3CJ52
6239.T12A7.9	C1P645
6239.H02F09.3	O76602
6239.R10D12.6	P92009
6239.C54C6.5	Q18819
6239.Y54E10A.12	Q9N3E8
6239.F22F4.3c	F5GU55
6239.T05C12.15	H2L277
6239.D2062.13	C7IVR0
6239.C17F3.1	O44946
6239.T06H11.5	Q7YTK6
6239.Y53G8AR.1	Q9N3F5
