511145.b3549	P05100
511145.b2471	P24178
511145.b2443	P76543
511145.b2444	P76544
511145.b2445	P76545
511145.b2446	P76546
511145.b2447	P76547
511145.b2448	P76548
511145.b2449	P76549
511145.b2450	P76550
511145.b2495	P76569
511145.b2503	P77172
511145.b2504	P64545
511145.b2505	P65290
511145.b2506	P76573
511145.b2510	P76575
511145.b2513	P76576
511145.b2555	P0AD44
511145.b2561	P37767
511145.b2562	P52102
511145.b2520	P76578
511145.b2534	P77538
511145.b2605	P07021
511145.b2577	P33634
511145.b2581	P0AGJ5
511145.b2593	P33644
511145.b2602	P11289
511145.b2586	P46126
511145.b2604	P46139
511145.b2583	Q47319
511145.b2603	P64548
511145.b4461	P37908
511145.b2623	P52123
511145.b2625	P52124
511145.b2626	P52125
511145.b2627	P52126
511145.b2628	P52127
511145.b2629	P52128
511145.b2632	P52131
511145.b2633	P52132
511145.b2634	P52133
511145.b2636	O52982
511145.b2637	P52135
511145.b2642	P52138
511145.b2643	P52139
511145.b2644	P52140
511145.b2645	P52141
511145.b2671	P0AD53
511145.b2683	P43667
511145.b2672	P0ADQ7
511145.b2668	P55734
511145.b2665	P0ADE6
511145.b2667	P77295
511145.b2682	P76630
511145.b2732	P25728
511145.b2749	P46141
511145.b2735	P52598
511145.b2736	Q46888
511145.b2737	Q46889
511145.b2738	Q46890
511145.b2739	Q46891
511145.b2740	Q46892
511145.b2776	P55138
511145.b2778	P55140
511145.b2766	Q46904
511145.b2767	Q46905
511145.b2768	Q46906
511145.b2769	Q46907
511145.b2770	Q46908
511145.b2771	Q46909
511145.b4463	Q46911
511145.b2774	P76633
511145.b2824	P08370
511145.b2807	P0ADR2
511145.b2795	P0ADR8
511145.b2809	P65292
511145.b2832	P67127
511145.b2833	P65294
511145.b2840	P03813
511145.b2851	Q46787
511145.b2852	P76639
511145.b2853	Q46789
511145.b2865	Q46798
511145.b2869	Q46802
511145.b2870	Q46803
511145.b2872	P65807
511145.b2909	P0A8C4
511145.b2902	P52037
511145.b2921	P52044
511145.b2878	Q46811
511145.b2880	P64557
511145.b2886	Q46819
511145.b2887	Q46820
511145.b2898	P0ADE8
511145.b2928	P11664
511145.b2929	P11663
511145.b2922	P0ADS6
511145.b2959	P38521
511145.b2956	P46142
511145.b2958	P0ADS9
511145.b4465	P52048
511145.b2950	P52052
511145.b2951	P67080
511145.b2952	P64564
511145.b2953	P52060
511145.b2955	P52062
511145.b3003	P0AG84
511145.b3009	P0AA60
511145.b2968	Q46832
511145.b2971	Q46835
511145.b2983	Q46841
511145.b2984	P64572
511145.b2985	Q46843
511145.b2986	Q46844
511145.b2989	Q46845
511145.b2998	P64574
511145.b3037	P0ADT2
511145.b3038	P0ADT5
511145.b3039	P24197
511145.b3043	P39834
511145.b3055	P0ADT8
511145.b3029	P0ADU2
511145.b4469	Q46861
511145.b3020	Q46863
511145.b3023	Q46866
511145.b3024	P0ADU5
511145.b3027	Q46867
511145.b3074	P42589
511145.b3078	P42590
511145.b3079	P42591
511145.b3080	P42592
511145.b3085	P42597
511145.b3086	P42598
511145.b3087	P42599
511145.b3090	P42603
511145.b3120	P11865
511145.b3121	P11864
511145.b3103	P64590
511145.b3104	P64592
511145.b3105	P67660
511145.b3106	P42624
511145.b3107	P42625
511145.b4470	P42626
511145.b3110	P42628
511145.b3130	P64594
511145.b3184	P0AA73
511145.b3153	P45470
511145.b3154	P67762
511145.b3155	P45472
511145.b3156	P63417
511145.b3157	P64599
511145.b3158	P45527
511145.b3159	P45475
511145.b3160	P0ADV5
511145.b3173	P42640
511145.b3180	P0AGK4
511145.b3215	P28722
511145.b3233	P0ADW3
511145.b3211	P0ADW6
511145.b3216	P45420
511145.b3219	P45422
511145.b3220	P45423
511145.b3221	P45424
511145.b3238	P64614
511145.b3239	P64616
511145.b3248	P25536
511145.b3262	P28638
511145.b3293	P36677
511145.b4472	P46474
511145.b3257	P45566
511145.b3263	P64619
511145.b3267	P64622
511145.b3269	P45767
511145.b3270	P45768
511145.b3271	P45769
511145.b3346	P64624
511145.b3352	P63389
511145.b3353	P45524
511145.b3354	P67624
511145.b4551	P0ADW8
511145.b3356	P0ADX1
511145.b3362	P0ADX5
511145.b3358	P45537
511145.b3369	P64627
511145.b3376	P45545
511145.b3377	P45546
511145.b3378	P64631
511145.b3380	P45549
511145.b3381	P45550
511145.b3382	P45551
511145.b3383	P45552
511145.b3411	P31667
511145.b3402	P45804
511145.b3407	P46837
511145.b3434	P67143
511145.b3448	P0ADX7
511145.b3483	P28911
511145.b3484	P28912
511145.b3485	P0AGH1
511145.b3466	P37614
511145.b3467	P37615
511145.b3468	P0ADI9
511145.b3471	P37619
511145.b3473	P37621
511145.b3474	P0AGM0
511145.b3439	P46852
511145.b3440	P46853
511145.b3441	P46854
511145.b3442	P46855
511145.b3508	P0AFV2
511145.b3487	P37626
511145.b3488	P37627
511145.b3491	P37630
511145.b3492	P37631
511145.b3518	P37197
511145.b3520	P37640
511145.b3521	P37641
511145.b3522	P37642
511145.b3523	P37643
511145.b3524	P37645
511145.b3525	P37646
511145.b3527	P37648
511145.b3529	P37649
511145.b3535	P0ADJ3
511145.b3539	P37660
511145.b3547	P37662
511145.b3548	P37663
511145.b3562	P0ADJ8
511145.b3563	P11286
511145.b3550	P37664
511145.b3552	P37665
511145.b3554	P0ADK0
511145.b3555	P0A9V5
511145.b3574	P37671
511145.b3576	P37673
511145.b3577	P37674
511145.b3578	P37675
511145.b3579	P37676
511145.b3584	P37681
511145.b3585	P37682
511145.b3586	P37683
511145.b3587	P0ADK4
511145.b3594	P0ADK6
511145.b3615	P11290
511145.b3592	P0ACA1
511145.b3596	P32106
511145.b3597	P0AFV0
511145.b3598	P32108
511145.b3602	P0ADK8
511145.b3611	P0AG27
511145.b3614	P37691
511145.b4554	Q2M7R5
511145.b3644	P23839
511145.b3646	P0AGM2
511145.b3655	P31433
511145.b3657	P31435
511145.b3660	P31437
511145.b3663	P0ADL3
511145.b3638	P25531
511145.b4555	Q2M7X4
511145.b3697	P0A8Y5
511145.b3698	P09996
511145.b3705	P25714
511145.b4557	P0A8C8
511145.b3685	P60872
511145.b3674	P31443
511145.b3675	P0ADL6
511145.b3676	P0ADM0
511145.b3677	P31446
511145.b3678	P31447
511145.b3679	P31448
511145.b3680	P31449
511145.b3684	P31453
511145.b3688	P0ADM4
511145.b3689	P31455
511145.b3696	P0ADM6
511145.b3711	P31463
511145.b3712	P0ADM8
511145.b3715	P31467
511145.b3718	P31470
511145.b3719	P31471
511145.b3755	P31475
511145.b3765	P22787
511145.b3764	P0ADN2
511145.b3795	P27837
511145.b4558	P0ADN6
511145.b3810	P23305
511145.b3812	P0ADP0
511145.b4482	P27840
511145.b3817	P27842
511145.b3818	P27843
511145.b3820	P0ADP2
511145.b3826	P27848
511145.b3827	P0ADP5
511145.b3848	P27862
511145.b3858	P0ADP9
511145.b3861	P32128
511145.b3862	P32129
511145.b3866	P0A8H6
511145.b3872	P0ACM9
511145.b3873	P32134
511145.b3874	P32135
511145.b3876	P32136
511145.b3877	P32137
511145.b3878	P32138
511145.b3879	P32139
511145.b3884	P32144
511145.b3885	P0A8Y3
511145.b3886	P0A8K8
511145.b3888	P0ADQ2
511145.b3889	P0ADQ5
511145.b3890	P0AFU6
511145.b3896	P32151
511145.b3910	P32157
511145.b3920	P32160
511145.b3921	P0AF34
511145.b3922	P32162
511145.b3937	P32167
511145.b3964	P0AF40
511145.b3943	P0ABT8
511145.b3944	P32668
511145.b3954	P32677
511145.b4011	P09162
511145.b4012	P09163
511145.b3999	P32680
511145.b4001	P32681
511145.b4020	P0AF43
511145.b4023	P32685
511145.b4026	P0AF45
511145.b4027	P32687
511145.b4028	P32688
511145.b4029	P32689
511145.b4045	P68206
511145.b4047	P32693
511145.b4048	P32694
511145.b4056	P0AF48
511145.b4057	P0AF50
511145.b4621	P58036
511145.b4620	A5A628
511145.b4060	P32700
511145.b4061	P32701
511145.b4065	P32703
511145.b4066	P32704
511145.b4068	P0AF54
511145.b4078	P0AF56
511145.b4083	P32717
511145.b4110	P39267
511145.b4135	P0ACU7
511145.b4121	P39270
511145.b4126	P0AF59
511145.b4127	P39274
511145.b4487	Q6BEX5
511145.b4141	P39277
511145.b4144	P0AF70
511145.b4145	P39279
511145.b4156	P39282
511145.b4157	P39283
511145.b4158	P39284
511145.b4176	P0AF73
511145.b4670	C1P621
511145.b4186	P33222
511145.b4231	P37772
511145.b4181	P0AF76
511145.b4182	P0AF78
511145.b4183	P39293
511145.b4184	P0AF80
511145.b4185	P39295
511145.b4188	P0AF82
511145.b4190	P39298
511145.b4199	P0AF86
511145.b4204	P39308
511145.b4234	P0A8X0
511145.b4248	P39332
511145.b4253	P39336
511145.b4256	P39337
511145.b4257	P39338
511145.b4263	P39342
511145.b4277	P39351
511145.b4279	P39352
511145.b4280	P39353
511145.b4296	P39357
511145.b4297	P39358
511145.b4298	P39359
511145.b4299	P39360
511145.b4306	P39367
511145.b4307	P39368
511145.b4295	P39356
511145.b4566	Q2EEU2
511145.b4352	P24203
511145.b4325	P39374
511145.b4327	P39376
511145.b4329	P0AEH8
511145.b4330	P39379
511145.b4332	P39381
511145.b4333	P39382
511145.b4334	P39383
511145.b4335	P39384
511145.b4336	P39385
511145.b4340	P39389
511145.b4341	P39390
511145.b4353	P0ADC8
511145.b4354	P39396
511145.b4360	P18390
511145.b4363	P0ADD2
511145.b4374	P0A8Y1
511145.b4380	P37342
511145.b4385	P39410
511145.b4364	P0ADD5
511145.b4365	P0ADD7
511145.b4377	P39407
511145.b4378	P39408
511145.b4379	P39409
511145.b4402	P0ADD9
511145.b4567	P55914
511145.b0253	P75678
511145.b0250	P77162
511145.b0249	P75677
511145.b0247	Q47685
511145.b4504	Q9XB42
511145.b0245	P77692
511145.b4586	A5A605
511145.b0306	P77252
511145.b0307	P77536
511145.b0308	P77433
511145.b0310	P77180
511145.b0288	P0AAL9
511145.b0295	P56257
511145.b4671	C1P5Z8
511145.b0457	P77473
511145.b0458	P0AAS0
511145.b0520	P0AAS5
511145.b4509	Q47272
511145.b4588	Q47268
511145.b4589	A5A607
511145.b0833	P75800
511145.b0834	P75801
511145.b0837	P75804
511145.b0952	P0AB10
511145.b0991	P0AAA5
511145.b1044	P75917
511145.b1045	P0A8D6
511145.b4518	P56614
511145.b1122	P75962
511145.b1137	P75967
511145.b1138	P75968
511145.b1143	P75972
511145.b1144	P75973
511145.b1147	P75976
511145.b1148	P75977
511145.b1153	P75982
511145.b1150	P75979
511145.b1155	P09154
511145.b1165	P75992
511145.b1167	P75994
511145.b1171	P0AB46
511145.b1195	P76011
511145.b4520	P58034
511145.b1172	Q7DFV3
511145.b4593	A5A611
511145.b4594	A5A612
511145.b4522	P0CB62
511145.b4672	C1P5Z9
511145.b1295	P0ACV8
511145.b1375	P76073
511145.b1330	P0AEB5
511145.b1332	P64445
511145.b1365	P76068
511145.b1408	P76090
511145.b1409	P76091
511145.b1410	P76092
511145.b1411	P76093
511145.b1382	P64448
511145.b4674	C1P600
511145.b1451	P76115
511145.b1452	P76116
511145.b1454	P76117
511145.b1455	P76118
511145.b1436	P64459
511145.b4598	A5A615
511145.b1520	P76146
511145.b1522	P76147
511145.b1523	P76148
511145.b1526	P77309
511145.b1527	P76150
511145.b4599	A5A616
511145.b1582	P76169
511145.b1583	P76170
511145.b1585	P67553
511145.b1586	P76172
511145.b1587	P77374
511145.b1588	P77783
511145.b1589	P0AAJ1
511145.b1590	P76173
511145.b1595	P77559
511145.b1596	P43531
511145.b1551	P76157
511145.b4533	Q2EES0
511145.b4602	A5A618
511145.b1678	P76193
511145.b1725	P77739
511145.b1726	P76208
511145.b1727	P77247
511145.b4535	Q2EES1
511145.b1753	P76222
511145.b1754	P76223
511145.b1755	P76224
511145.b1756	P76909
511145.b1757	P78067
511145.b1758	P76226
511145.b1760	P76227
511145.b1762	P76228
511145.b1808	P76257
511145.b1809	P0AEB7
511145.b1810	P64490
511145.b1816	P0AEC0
511145.b1793	P64493
511145.b1796	P64496
511145.b1811	P67338
511145.b1788	P76239
511145.b4675	C1P603
511145.b4676	C1P602
511145.b1841	P0AA57
511145.b1843	P76280
511145.b1820	P67601
511145.b1824	P64508
511145.b4536	Q2MB16
511145.b4677	C1P604
511145.b1957	P64517
511145.b1953	P64519
511145.b4539	P69348
511145.b4678	C1P606
511145.b2135	P0AD17
511145.b2136	P33366
511145.b2137	P33368
511145.b2141	P60632
511145.b2142	P0AD19
511145.b4542	Q2EES6
511145.b4679	C1P609
511145.b2211	P33941
511145.b4604	A5A619
511145.b4543	V9HVX0
511145.b2380	P0AA93
511145.b2381	P0AE39
511145.b2382	P77396
511145.b2384	P77585
511145.b2385	P76524
511145.b2376	O32528
511145.b4680	C1P610
511145.b2434	P76539
511145.b4546	P0AD40
511145.b2390	P64542
511145.b2466	P76559
511145.b2473	P76561
511145.b2475	P64429
511145.b4606	A5A621
511145.b4547	Q2EET2
511145.b2543	P0AD47
511145.b2544	P76584
511145.b2545	P77360
511145.b2546	P77315
511145.b2547	P77509
511145.b2548	P77269
511145.b2549	P76585
511145.b2550	P76586
511145.b2647	P52143
511145.b2611	P64432
511145.b2646	Q46953
511145.b4548	P58033
511145.b2635	P52134
511145.b2689	P0ADR0
511145.b2690	P77475
511145.b2666	P0AE42
511145.b2790	P65367
511145.b2792	Q46919
511145.b2775	P77031
511145.b4682	C1P612
511145.b2875	Q46808
511145.b2876	Q46809
511145.b2844	Q46939
511145.b2845	P63340
511145.b2846	Q46941
511145.b2847	Q46942
511145.b2848	Q46943
511145.b2849	P77136
511145.b4683	C1P613
511145.b2899	P67153
511145.b2900	P67603
511145.b4684	C1P614
511145.b2966	Q46831
511145.b2939	P64567
511145.b2940	P64570
511145.b2948	P0A8W5
511145.b3002	P67244
511145.b3010	Q46855
511145.b3011	Q46856
511145.b3013	Q46858
511145.b3014	P65298
511145.b3031	P0A8Z7
511145.b3033	P0ADU7
511145.b3042	Q46868
511145.b3047	P77616
511145.b3048	P76656
511145.b3050	P76657
511145.b3051	P77306
511145.b3095	P0AA63
511145.b3097	P42616
511145.b3098	P64581
511145.b3099	P64585
511145.b3101	P42619
511145.b3102	P42620
511145.b3070	Q46871
511145.b3071	P64588
511145.b3100	Q47710
511145.b3142	P42913
511145.b3143	P42914
511145.b3144	P42915
511145.b3145	P43319
511145.b3148	P45465
511145.b3150	P64596
511145.b3151	P45468
511145.b3152	P45469
511145.b3196	P45394
511145.b3207	P64610
511145.b4685	C1P618
511145.b3279	P0A9W9
511145.b3280	P45795
511145.b3283	P45771
511145.b3399	P64636
511145.b3446	P46857
511145.b4612	P58037
511145.b3573	P56256
511145.b4553	Q2M7M3
511145.b4686	C1P620
511145.b4622	A5A630
511145.b4206	P39310
511145.b4209	P69506
511145.b4210	P39314
511145.b4212	P0ACN2
511145.b4215	P39317
511145.b4216	P39187
511145.b4217	P0ADE2
511145.b4218	P0AE45
511145.b4222	P0AE48
511145.b4227	P39325
511145.b4485	Q6BEX0
511145.b4230	P39328
511145.b4655	A8DYQ1
511145.b4568	Q2M5U1
511145.b2910	P0ADS2
511145.b3928	P0AF36
511145.b0946	P75862
511145.b0102	P36680
511145.b3232	P64612
511145.b1973	P76344
511145.b2412	P77173
511145.b0752	P75757
511145.b1342	P64423
511145.b3292	P0ACS5
511145.b1857	P39172
511145.b1859	P39832
511145.b1858	P0A9X1
511145.b4002	P0AAA9
511145.b4004	P14375
511145.b4003	P14377
511145.b3040	P0A8H3
511145.b4046	P0AC51
511145.b1392	A0A093DIF5
511145.b3801	A0A061KPX2
511145.b0646	A0A094VV13
511145.b0270	A0A090HER0
511145.b2430	A0A024L105
511145.b2849	A0A024LAX7
511145.b2852	A0A0A6U8X0
511145.b2757	A0A069FCV9
511145.b1370	A0A0A8KKA8
511145.b2333	A0A037Y648
511145.b0603	C3TJY8
511145.b2449	A0A090H2Q9
511145.b1554	A0A0B1KWX6
511145.b0268	A0A090J8E5
511145.b0269	A0A090JFC9
511145.b0164	A0A0B0UXP8
511145.b1931	A0A0B1JVD4
511145.b4340	A0A0B1J766
511145.b0272	A0A090LEG1
511145.b1389	A0A061KBX9
511145.b0271	A0A090HK47
511145.b2447	A0A090H2G7
511145.b4225	A0A085P718
511145.b1392	W8TF42
511145.b1390	A0A0B0VVA6
511145.b2851	A0A037YGE8
511145.b1546	A0A0B0V465
511145.b1390	A0A061K9F7
511145.b0321	A0A0B1LAV2
511145.b4048	A0A0B0UF08
511145.b2647	A0A090HV15
511145.b2756	A0A066QKL9
511145.b2847	A0A061K2M2
511145.b2040	A0A090JD04
511145.b1004	K0JFS6
511145.b2758	A0A094VUG3
511145.b2759	A0A094VPQ1
511145.b2446	A0A090H2G4
511145.b1358	A0A0B1KY75
511145.b0260	A0A090J8D5
511145.b3624	A0A094W6H3
511145.b2040	A0A0A8J521
511145.b0278	A0A090JQD5
511145.b1400	W8SZ87
511145.b0234	A0A0B0UFQ1
511145.b2000	A0A0B1K512
511145.b1158	A0A085NVA8
511145.b1513	W8TA90
511145.b1146	A0A067H968
511145.b0136	A0A0B0VSU0
511145.b0603	A0A0B0VU59
511145.b2430	C3T0W2
511145.b1562	A0A066QNW3
511145.b1563	A0A024L3I2
511145.b0164	A0A037YNF5
511145.b2036	A0A086UAG1
511145.b2632	A0A094VQU4
511145.b2761	A0A094VS28
511145.b2625	A0A094VT44
511145.b2628	A0A094VVD8
511145.b2626	A0A094WLW9
511145.b2336	A0A037Y2Z4
511145.b0706	A0A061KKY6
511145.b1511	A0A0B0V2N8
511145.b3626	A0A024LBQ9
511145.b1121	A0A061L3R3
511145.b2361	A0A0B1K6T7
511145.b2847	A0A0B0VEX7
511145.b0164	A0A0B0VML2
511145.b2754	A0A061KF56
511145.b1394	A0A037YL48
511145.b1370	A0A0B0VIT2
511145.b1511	W8T1L3
511145.b2112	A0A090JNP9
511145.b2716	A0A0B0US04
511145.b3627	A0A024LCL1
511145.b1389	A0A0B1J6B2
511145.b1397	A0A037YD97
511145.b4215	A0A094VWT3
511145.b2631	A0A094WLW3
511145.b1511	A0A024L3K1
511145.b1943	A0A0A6RYI7
511145.b4586	W8T2P6
511145.b0646	A0A0B1JYB3
511145.b1397	A0A0B1J8V4
511145.b0647	A0A0B0V3E9
511145.b1550	A0A0B1K6E5
511145.b2334	A0A037YEF1
511145.b4066	A0A094VNB3
511145.b2637	A0A094VQT9
511145.b2644	A0A094WLV3
511145.b2622	A0A094VQV5
511145.b2629	A0A094Y322
511145.b1357	A0A094VXH7
511145.b4204	A0A0B0V3X8
511145.b2758	A0A061KA91
511145.b1512	A0A094VN34
511145.b4586	J7QCF4
511145.b1360	A0A061LDE8
511145.b2037	A0A086V0Y9
511145.b2627	A0A094VQV0
511145.b2643	A0A094VT27
511145.b2760	A0A094WKV7
511145.b2642	A0A094Y315
511145.b1512	A0A066QEU9
511145.b1394	A0A0B0XY79
511145.b2041	A0A0A8J468
511145.b1512	A0A0B0UMS7
511145.b4066	A0A0A0G7R3
511145.b4297	J7QBE2
511145.b2759	A0A061K8A4
511145.b0644	A0A066PZV3
511145.b2041	A0A0A6ZES6
511145.b1356	A0A094Y501
511145.b2034	A0A086UAG3
511145.b2645	A0A094VQT4
511145.b0252	A0A094VUM5
511145.b2646	A0A094VVC1
511145.b0253	A0A094VZD9
511145.b0249	A0A094VZE5
511145.b2624	A0A094Y327
511145.b0254	A0A094Y6S6
511145.b1373	A0A094VAK7
511145.b0245	A0A094Y6T6
511145.b0364	J7QMM1
511145.b1511	A0A0B1JMT8
511145.b1150	J7R0W0
511145.b2041	A0A090HVM7
511145.b2647	A0A0A6SWB2
511145.b1560	A0A086V744
511145.b0277	A0A090J8F9
511145.b0234	A0A090JHW2
511145.b2847	A0A0B1KD01
511145.b0648	A0A0B0UFE4
511145.b4066	A0A0B0W3N0
511145.b2033	A0A086UUM9
511145.b0364	A0A094Y2A8
511145.b2352	A0A094VRG6
511145.b2000	A0A094XZ97
511145.b4586	A0A066Q2Y8
511145.b1372	A0A0B1K7E1
511145.b2271	A0A094Y3V6
511145.b1547	A0A0B1JI27
511145.b2761	A0A0A6U949
511145.b1145	A0A094VVK4
511145.b1551	A0A037Y814
511145.b2354	A0A094Y3N4
511145.b3618	C3SMJ7
511145.b2754	A0A086VT59
511145.b1182	A0A066R5T5
511145.b1398	J7R445
511145.b1388	A0A061KE29
511145.b1394	A0A061KBX4
511145.b2755	A0A061KD01
511145.b0135	A0A037Y3H4
511145.b2760	A0A061K5N4
511145.b2040	A0A0A8J5J9
511145.b1355	A0A090HN42
511145.b1396	J7R0M4
511145.b0603	W8TRF8
511145.b1387	A0A0B1KFY9
511145.b3220	A0A094VGY8
511145.b2363	A0A094VW21
511145.b1001	A0A094VN75
511145.b0251	A0A094VWY4
511145.b2349	A0A094Y3N8
511145.b1395	A0A0B0Z8H7
511145.b4224	A0A090J3J6
511145.b4340	A0A0B1A8E5
511145.b0648	A0A066T6F6
511145.b0557	A0A061KBI8
511145.b1546	A0A0B1JKL4
511145.b4683	J7R8D3
511145.b2082	A0A094VQC4
511145.b1512	J7Q7H8
511145.b1400	A0A093D4K8
511145.b2734	A0A0B0VRG6
511145.b2853	A0A023JUC3
511145.b2852	A0A0B0UN72
511145.b1392	A0A0B1J8V9
511145.b2035	A0A086UUM7
511145.b2332	A0A037YF33
511145.b1387	A0A0B0VQ94
511145.b1555	A0A037Y338
511145.b2032	A0A086UAG4
511145.b2757	A0A094Y214
511145.b1550	A0A090JEN8
511145.b1931	A0A094WF82
511145.b4253	A0A094Y4A6
511145.b4047	A0A069FF59
511145.b1393	A0A0B1JA21
511145.b4466	A0A094VSM2
511145.b1153	A0A024L4L8
511145.b3219	A0A037YNE3
511145.b2274	A0A024KZQ9
511145.b4003	A0A0B0UH56
511145.b1546	A0A090JKV3
511145.b1029	A0A066RG75
511145.b1514	A0A0A6VGP7
511145.b0648	W8T5R7
511145.b2847	A0A086TX44
511145.b1947	A0A0A0G3Y1
511145.b1391	A0A0C2BCZ6
511145.b4299	A0A024L879
511145.b1514	A0A0B0V5L3
511145.b4157	W8TAW4
511145.b1511	A0A090J8K9
511145.b2040	Q8GNF9
511145.b3628	A0A024LCF2
511145.b2071	A0A061KLK0
511145.b0247	A0A094WQV7
511145.b4224	A0A024L8H8
511145.b4543	A0A037YS62
511145.b1182	A0A0A0FPR2
511145.b1388	J7R437
511145.b4340	A0A061K1U1
511145.b1387	W8TF47
511145.b3618	A0A094VB23
511145.b2633	A0A094VVD3
511145.b2634	A0A094Y318
511145.b2716	J7QGX5
511145.b1560	A0A024L1V2
511145.b4672	A0A094VN95
511145.b0647	C3TJC7
511145.b3623	A0A024LCF8
511145.b2636	A0A094WLV8
511145.b0647	A0A094Y2Q1
511145.b4601	A0A094WJK4
511145.b2647	A0A0A0H5N9
511145.b2853	J7R537
511145.b4158	A0A024L8F2
511145.b1359	A0A094WP13
511145.b0364	A0A0B1K3T7
511145.b1395	A0A086VKE7
511145.b3626	I7AK80
511145.b4504	A0A090HR70
511145.b1554	A0A0B0V248
511145.b1387	J7Q7B4
511145.b4340	A0A024L7C8
511145.b0717	A0A037Y391
511145.b3622	A0A094VFV2
511145.b4299	A0A061KN97
511145.b2215	C6K7M3
511145.b2041	A0A0A0GF38
511145.b2041	Q8GNG0
511145.b1029	J7QZQ3
511145.b1560	A0A0A0GHG8
511145.b1512	C3T9Y7
511145.b2430	A0A0A0G913
511145.b2734	W8TWC2
511145.b1400	A0A037YCY6
511145.b2362	A0A094VRF6
511145.b1559	W8TEL3
511145.b0647	A0A061KPR3
511145.b2968	A0A061K7I0
511145.b0644	A0A061YGV6
511145.b3632	A0A024LCK4
511145.b3214	A0A037YKM0
511145.b1562	A0A061L0B9
511145.b0566	A0A085P505
511145.b1388	A0A0B0VU31
511145.b1926	A0A0B0UH68
511145.b2041	A0A0A8J6N0
511145.b1570	A0A0B1G452
511145.b4340	A0A066SPT3
511145.b1511	A0A0B1KLB8
511145.b1553	A0A0B0W6U9
511145.b1994	W8SUY2
511145.b1513	A0A090J4S5
511145.b4341	A0A094XS43
511145.b2350	A0A094VTT1
511145.b0364	A0A0B1IQE7
511145.b2351	A0A090J4A2
511145.b2755	A0A094WKV2
511145.b1399	W8T1V0
511145.b0566	C3TKG7
511145.b2430	A0A090H0X4
511145.b1358	A0A094VSU6
511145.b3645	A0A024LBN2
511145.b0646	J7R1Y1
511145.b0647	J7QNB0
511145.b3624	I7AU32
511145.b4204	A0A090J7F1
511145.b4703	A0A094XWZ5
511145.b1391	A0A0B1J9R2
511145.b1392	A0A061KDL3
511145.b1393	A0A061KE25
511145.b3216	A0A094VPY3
511145.b4066	W8SXV8
511145.b1145	A0A0B1JEZ1
511145.b0273	A0A090J8F2
511145.b2761	A0A069FPQ2
511145.b3632	A0A090I061
511145.b2041	D7PDT6
511145.b0648	J7QCX3
511145.b4225	A0A090H4V3
511145.b4298	A0A066T2Z3
511145.b1372	A0A0B0UDY0
511145.b2430	A0A0B1AHS7
511145.b4047	W8TX80
511145.b4703	A0A0B1LH55
511145.b2349	A0A0B0UZY3
511145.b3716	A0A061KGP2
511145.b2847	A0A024L9B6
511145.b0250	A0A094Y6T1
511145.b1399	A0A024L404
511145.b1547	A0A0B1MU55
511145.b1553	A0A024L3E1
511145.b1397	A0A0B1LRK5
511145.b2760	A0A090KZ33
511145.b1555	A0A061L0C6
511145.b0246	A0A094VWZ0
511145.b2349	A0A0B1L7S5
511145.b2376	A0A037YEH6
511145.b2430	A0A0B1L5M0
511145.b1454	W8TAC8
511145.b1514	W8TEU1
511145.b2363	W8STS7
511145.b1395	A0A037YCZ0
511145.b1393	J7R439
511145.b0719	A0A037Y201
511145.b0566	J7QN28
511145.b2851	J7R531
511145.b1398	A0A024L377
511145.b1571	A0A0A2RM88
511145.b1029	W8T0A4
511145.b4048	A0A094VKT0
511145.b3625	I6ZPK2
511145.b1566	A0A024L2I7
511145.b4158	A0A0A2RE83
511145.b0274	F2VID8
511145.b1551	A0A094VVT2
511145.b0279	A0A090JNG0
511145.b2848	W8SWW9
511145.b1570	A0A024L1T9
511145.b2734	A0A090HV93
511145.b2038	A0A090H064
511145.b0262	W8T7X1
511145.b2040	D7PDT7
511145.b4225	C3SFE2
511145.b0228	A0A061KVL5
511145.b1923	Q53ZW4
511145.b2849	A0A023JUC7
511145.b2630	A0A090HUN3
511145.b1572	A0A0B1K603
511145.b1397	J7Q7B8
511145.b3215	A0A024L8C6
511145.b2635	A0A094VT33
511145.b4347	A0A090KZF8
511145.b4501	A4D0P1
511145.b1546	A0A024L1Y3
511145.b2647	A0A0A0HBP8
511145.b2756	A0A061KAG8
511145.b2270	A0A094VWA9
511145.b3625	A0A024LAS3
511145.b0248	A0A094VUN2
511145.b2852	A0A024LA82
511145.b2274	A0A090H0L3
511145.b1514	J7QR35
511145.b4296	J7R9M8
511145.b2041	Q45XH1
511145.b0234	A0A094Y6U7
511145.b1391	W8TAG8
511145.b1390	A0A093DT45
511145.b2430	A0A061L1E1
511145.b1390	J7QE33
511145.b4297	A0A024L8W0
511145.b1400	A0A066QJ97
511145.b1394	J7QQP0
511145.b3622	I7AXT1
511145.b2934	A0A061YM16
511145.b0603	A0A061KFL6
511145.b1391	A0A066R5K8
511145.b0644	A0A024L5L2
511145.b2275	A0A094VWA5
511145.b3631	A0A024LBQ3
511145.b1566	A0A061K275
511145.b2273	A0A024L0E7
511145.b1932	A0A090J7X3
511145.b4003	A0A086VI55
511145.b3627	I7A075
511145.b1389	J7QQN3
511145.b1150	A0A024L3U8
511145.b0261	B1VCK1
511145.b1564	A0A024L3D2
511145.b0564	A0A023KKP1
511145.b0136	A0A037YRR3
511145.b2848	A0A024LA85
511145.b3629	A0A024LBH8
511145.b3630	A0A024LAR9
