3702.AT1G22300.1	P48347
3702.AT4G24350.1	C0Z287
3702.AT1G62610.4	F4HYU4
3702.AT1G18180.1	F4IAN4
3702.AT1G72270.1	F4IBR2
3702.AT1G78600.2	F4IBS4
3702.AT2G31141.1	F4IPX8
3702.AT3G09750.1	F4J1B0
3702.AT3G10000.1	F4J2I3
3702.AT4G38220.2	F4JTK8
3702.AT5G26730.1	F4K185
3702.AT3G29763.1	Q3EAW7
3702.AT1G70830.1	B3H4F3
3702.AT4G14251.1	B3H5U7
3702.AT5G28642.1	B3H682
3702.AT2G24683.1	B3H6V4
3702.AT4G38600.1	B3H700
3702.AT1G64628.1	F4I6T8
3702.AT1G51030.1	F4I7Y8
3702.AT3G07930.3	F4JFQ3
3702.AT4G38480.1	F4JTP6
3702.AT4G14260.1	F4JUP0
3702.AT5G01670.2	F4K9G7
3702.AT5G57180.2	F4KAK2
3702.AT1G18360.1	Q9LPQ4
3702.AT5G37140.1	Q9FHU9
3702.AT2G25320.1	Q9SIR1
3702.AT1G20380.1	Q9LN30
3702.AT2G31750.1	W8Q3D9
3702.AT1G29240.1	Q8RXY9
3702.AT1G03610.1	Q9LR63
3702.AT4G34670.1	Q42108
3702.AT5G20820.1	Q8LDL3
3702.AT3G17370.1	Q9LUT4
3702.AT1G05170.2	W8Q3U9
3702.AT1G21340.1	A0ME79
3702.AT2G27000.1	Q0WTK6
3702.AT3G15730.1	Q0WV84
3702.AT2G18850.1	Q84WA8
3702.AT1G54460.1	Q8LES4
3702.AT1G73650.3	Q8LEY8
3702.AT1G23570.2	A0ME88
3702.AT1G30350.1	A0MEA2
3702.AT4G15530.5	Q0WLY6
3702.AT4G27760.1	Q0WVF4
3702.AT5G64150.1	Q8LE66
3702.AT1G76590.1	Q8LFT1
3702.AT2G33050.1	Q8S8T0
3702.AT5G12240.1	Q9FMN9
3702.AT3G01311.1	Q6DSR7
3702.AT4G24880.1	Q680Z5
3702.AT1G29195.1	Q681T1
3702.AT4G23470.1	Q681W9
3702.AT5G07560.1	Q94FR2
3702.AT1G05760.1	D5K204
3702.AT5G12430.1	Q941R3
3702.AT4G35500.2	Q9FYB4
3702.AT2G38170.3	B9DFT4
3702.AT3G20810.2	B9DGS1
3702.ATCG01050.1	Q3ZVC3
3702.AT1G66340.1	B0ZXA1
3702.AT5G11770.1	Q43738
3702.AT1G13930.1	Q8LEH5
3702.AT3G19870.1	Q9LT22
3702.AT1G77670.1	Q8VXZ8
3702.AT4G38550.1	Q8W4I3
3702.AT5G02320.1	Q9LZ93
3702.AT2G39140.1	O80966
3702.AT1G43850.1	A5YZF3
3702.AT3G11760.1	Q682X3
3702.AT3G14075.1	Q9LJI1
3702.ATMG01050.1	A0MEJ5
3702.AT3G61810.1	A0MF39
3702.AT4G04450.1	A0MF52
3702.AT5G06010.1	A0MFD9
3702.AT5G60780.1	A0MFQ7
3702.AT2G42640.1	A5YX26
3702.AT2G19180.1	Q94F29
3702.AT5G39960.1	Q9FLE0
3702.AT1G06910.1	Q9M9Z5
3702.AT5G13930.1	Q5FBU6
3702.AT1G53800.2	Q8L7Y2
3702.AT5G58820.1	Q9FIM7
3702.AT5G05330.1	Q9FLC1
3702.AT3G08740.1	Q9C9Y5
3702.AT1G75260.1	Q9FRL7
3702.AT3G45750.1	Q9M168
3702.AT3G27890.1	Q2HIK0
3702.AT2G38195.1	Q4PL85
3702.AT2G44280.1	Q4PSQ7
3702.AT3G11280.1	Q8LG33
3702.AT5G46190.1	Q9ASX3
3702.AT5G18250.1	Q8LDV0
3702.AT2G20870.1	A6QRC7
3702.AT4G27720.1	I1VCA8
3702.AT3G27900.1	Q9LK87
3702.AT5G02600.1	Q9LZ42
3702.AT4G09640.1	Q9ZS33
3702.AT1G29860.1	C0SUY3
3702.AT2G22630.1	C0SV55
3702.AT5G66940.1	C0SVW4
3702.AT1G30540.1	C0Z394
3702.AT5G51780.1	C0Z3C8
3702.AT1G63660.1	Q84WB8
3702.AT3G55340.1	Q8W2K5
3702.AT2G35800.1	Q9SJ70
3702.AT1G36942.1	B3H5Z1
3702.AT1G73920.1	F4HS17
3702.AT1G28390.2	F4HWL9
3702.AT1G17665.1	F4I908
3702.AT2G05520.1	F4IHB2
3702.AT3G23040.1	F4J2U5
3702.AT3G17380.1	F4J556
3702.AT3G26020.4	F4JBC5
3702.AT5G25270.1	F4JWQ4
3702.AT5G11250.1	Q19EA2
3702.AT1G07640.3	Q2V4Q1
3702.AT3G52970.2	Q8GXT5
3702.AT1G20990.1	F4HWC5
3702.AT1G16022.1	F4I2S6
3702.AT1G51690.3	F4I9M3
3702.AT1G78476.1	F4IA86
3702.AT4G06639.1	F4JGJ0
3702.AT3G48790.1	Q7FK64
3702.AT2G18690.1	A8MQF6
3702.AT1G08900.1	A8MR77
3702.AT5G13181.1	B3H435
3702.AT1G35242.1	B3H4F7
3702.AT4G24230.6	B3H4G6
3702.AT5G33421.1	B3H679
3702.AT1G74140.5	B3H707
3702.AT1G20130.1	F4HSP7
3702.AT1G27385.4	F4HSW0
3702.AT1G34315.1	F4HUX8
3702.AT1G02990.3	F4HZ99
3702.AT1G10640.1	F4I5U6
3702.AT1G50630.1	F4I6J9
3702.AT1G23935.1	F4I7P0
3702.AT1G72110.1	F4IBP0
3702.AT2G46130.1	F4IH91
3702.AT2G22125.1	F4IIM1
3702.AT2G02061.1	F4IQ97
3702.AT2G37390.1	F4IQW1
3702.AT2G25640.1	F4ISL5
3702.AT3G03620.1	F4J158
3702.AT3G58150.1	F4J4P1
3702.AT3G11402.2	F4J698
3702.AT3G11910.1	F4J7I2
3702.AT4G31900.1	F4JTF7
3702.AT5G66170.2	F4JZ39
3702.AT5G54250.1	F4K0A1
3702.AT5G67170.1	F4K3M6
3702.AT5G13880.1	F4K5D0
3702.AT5G43900.3	F4K7C4
3702.AT5G62640.3	F4K7R6
3702.AT5G33406.1	F4KHA1
3702.AT2G02620.1	O64715
3702.AT3G07640.1	Q9SSE6
3702.AT1G17290.1	Q680M2
3702.AT2G45480.1	B2CUM9
3702.AT4G10890.1	F4JN57
3702.AT1G08720.1	B2BDC2
3702.AT2G18510.1	Q94C63
3702.AT2G26960.1	Q9SBF5
3702.AT1G21528.1	A0MDM7
3702.AT2G33847.1	A0MDP3
3702.AT1G50350.1	A0MEB9
3702.AT3G18780.2	Q8GZJ2
3702.AT4G30820.1	Q8LES8
3702.AT1G75560.1	Q8LF59
3702.AT5G66970.1	Q9FGD3
3702.AT5G24060.2	Q9FLV6
3702.AT4G15415.1	Q0WNY8
3702.AT5G55670.1	Q0WTD1
3702.AT3G06640.1	Q9C833
3702.AT2G37890.1	Q67Z63
3702.AT2G38700.1	Q8LB37
3702.AT2G32710.1	B4F7P5
3702.AT1G16560.1	B9DGJ9
3702.AT4G36530.2	B9DGW5
3702.AT1G59530.1	G1JSJ2
3702.AT2G43390.1	O22853
3702.AT2G40520.1	O22883
3702.AT4G35820.1	Q1PE19
3702.AT3G15240.2	Q1PEQ2
3702.AT3G44880.1	B0ZU02
3702.AT4G03460.1	E1A9A7
3702.AT3G07950.1	Q9SFB9
3702.AT1G08720.1	B0LYA5
3702.AT5G64930.1	B0ZWU3
3702.AT1G19220.1	E1A701
3702.AT5G59370.1	Q84W24
3702.AT1G04400.1	G4WTY2
3702.AT4G26090.1	B0LC03
3702.AT2G26290.1	Q39229
3702.AT1G19610.1	Q9LN34
3702.AT3G23040.1	Q9LS87
3702.AT3G57370.1	A0MF31
3702.AT3G08960.1	A0MEU9
3702.AT2G42640.1	A5YX63
3702.AT4G08150.1	A5YXY4
3702.AT2G31060.3	Q56YJ4
3702.AT1G42470.1	Q9C8F0
3702.AT5G57060.1	Q9LTR7
3702.AT1G58190.2	Q56YW6
3702.AT1G16730.1	Q67ZZ6
3702.AT1G09840.1	C0Z256
3702.AT4G33420.1	Q67XK7
3702.AT5G45880.1	Q9FJ48
3702.AT1G47350.1	Q9FX06
3702.AT1G55546.1	Q9ZVV1
3702.AT1G04950.1	O04374
3702.AT5G26920.1	Q2VYG1
3702.AT5G13930.1	Q5QPX9
3702.AT5G56990.1	Q5XUY5
3702.AT1G53350.1	Q6XW93
3702.AT5G37340.2	Q8VYS1
3702.AT1G30330.2	D3K052
3702.AT2G47510.1	Q42095
3702.AT1G17665.1	Q9FZ66
3702.AT4G03050.2	Q944X4
3702.AT2G04790.2	Q6RF54
3702.AT3G10310.1	Q9SS42
3702.AT5G18230.2	Q56WI4
3702.AT5G40480.1	Q58FT6
3702.AT4G24340.1	Q8L945
3702.AT3G57150.1	C0SVF3
3702.AT4G35300.1	C0Z2Y0
3702.AT3G06290.1	Q9M8I9
3702.AT5G38197.1	A8MRC2
3702.AT1G19115.3	B3H791
3702.AT1G34095.1	F4HT43
3702.AT2G22240.1	F4IIN3
3702.AT2G41600.5	F4IKY1
3702.AT3G60130.1	F4JAM3
3702.AT3G25980.1	F4JBB7
3702.AT5G16300.1	F4KCR8
3702.AT5G51630.1	F4KDB9
3702.AT4G10310.1	M5BED3
3702.AT4G10940.1	O81621
3702.AT1G10760.1	Q0WLI2
3702.AT5G11250.1	Q19EA5
3702.AT5G20100.1	Q3E9A8
3702.AT5G04720.1	Q19EI8
3702.AT1G63730.1	Q19HB8
3702.AT3G25160.1	Q84WD1
3702.AT1G09290.1	Q8H122
3702.AT4G36980.4	A8MS51
3702.AT5G48220.1	A8MS79
3702.AT2G23834.1	B3H4Y5
3702.AT3G42475.1	B3H5C3
3702.AT1G37007.1	B3H5P9
3702.AT5G65533.1	B3H6D2
3702.AT2G29263.1	B3H7I7
3702.AT1G27580.1	F4HSY9
3702.AT1G03250.2	F4I0U6
3702.AT1G09794.1	F4I2K8
3702.AT1G10060.2	F4I2Q0
3702.AT1G64130.1	F4I5A5
3702.AT1G23970.2	F4I7Q0
3702.AT1G65350.1	F4I9X6
3702.AT2G14760.3	F4IGG9
3702.AT2G05510.1	F4IHA4
3702.AT2G47860.3	F4IM56
3702.AT2G16980.2	F4IMD8
3702.AT2G07775.1	F4INE9
3702.AT2G20390.2	F4IUI1
3702.AT3G24080.1	F4J5D3
3702.AT3G18100.1	F4J7J6
3702.AT4G01590.1	F4JG25
3702.AT4G38090.1	F4JSX6
3702.AT4G19770.1	F4JTY9
3702.AT4G39040.1	F4JV86
3702.AT5G26594.1	F4JZT3
3702.AT5G19710.1	F4K2L3
3702.AT5G19950.1	F4K2P4
3702.AT5G49830.2	F4K7F4
3702.AT5G07890.1	F4K867
3702.AT5G22450.1	F4K9W2
3702.AT5G52220.1	F4KEU5
3702.AT5G09876.1	F4KFD1
3702.AT5G20370.1	Q3E9A1
3702.AT1G16705.2	Q9FWQ4
3702.AT5G03730.1	B9DFD3
3702.AT4G19160.2	B9DH28
3702.AT1G20620.1	B9DHR6
3702.AT1G74040.1	B9DI07
3702.AT5G60450.1	E1A6I7
3702.AT1G01760.1	Q1PFZ4
3702.AT4G29590.1	Q8LFX0
3702.AT1G12805.1	Q9LPW8
3702.AT1G27220.1	Q9LFW8
3702.AT1G77720.1	P93833
3702.AT2G01735.1	Q0WTR7
3702.AT2G26990.1	Q56WM0
3702.AT4G34138.1	Q56ZD5
3702.AT1G29041.1	Q56ZE9
3702.AT5G23890.1	Q8H149
3702.AT3G44430.1	A0JQ74
3702.AT1G52400.1	B0LYE4
3702.AT4G03390.1	E0Y417
3702.AT2G33860.1	E1A6I3
3702.AT3G55320.1	Q0WMG7
3702.AT3G51150.2	Q0WQ71
3702.AT5G47430.1	Q0WVP4
3702.AT3G46650.1	Q0WWB8
3702.AT5G05220.1	Q9FLD2
3702.AT1G20460.1	Q9LMV5
3702.AT1G19400.1	Q9LN54
3702.AT4G26920.1	Q9SZ32
3702.AT1G07500.1	Q9LNX4
3702.AT5G11130.1	W8PUF9
3702.AT1G27120.1	W8Q7B2
3702.AT4G04320.1	Q66GJ2
3702.AT5G16160.1	Q9LF12
3702.AT3G08760.1	Q94CI5
3702.AT3G50350.1	Q67YJ4
3702.AT4G27590.2	Q8LG12
3702.AT3G20360.1	Q9LTQ7
3702.AT4G21650.1	Q56ZV1
3702.AT5G61330.1	Q84W09
3702.AT1G14930.1	Q9LQT7
3702.AT2G20562.1	A0MDZ4
3702.AT1G33930.1	A0MEA7
3702.AT1G33140.1	Q56W98
3702.AT4G36945.1	Q56XG7
3702.AT4G15830.1	Q8LAB3
3702.AT1G04645.1	Q8LD41
3702.AT3G24100.1	Q9LRN7
3702.AT3G59430.1	A6XH02
3702.AT4G19110.2	Q0WKY5
3702.AT1G02205.3	Q0WLZ2
3702.AT4G32260.1	Q0WMW8
3702.AT3G53860.1	Q0WP34
3702.AT5G26570.1	Q0WQR4
3702.AT4G25300.1	Q0WSU6
3702.AT4G36520.1	Q0WVS3
3702.AT2G01420.2	Q56X88
3702.AT1G31720.1	Q8GYH2
3702.AT4G38220.2	C0Z3E9
3702.AT1G33270.1	Q9C879
3702.AT3G57440.1	Q9SCM8
3702.AT2G16016.1	B3H440
3702.AT5G39024.1	B3H6E3
3702.AT1G01770.1	C0Z248
3702.AT1G69030.1	F4I0I6
3702.AT1G18250.2	F4IAP1
3702.AT2G01460.1	F4INB5
3702.AT3G55450.2	F4IWV6
3702.AT3G17520.1	F4J573
3702.AT3G05540.1	F4J8E4
3702.AT4G22340.3	F4JL60
3702.AT5G20610.1	F4K5K6
3702.AT5G62790.2	F4K7T6
3702.AT5G46110.4	F4KG21
3702.AT5G65310.1	F4KHX1
3702.AT5G17680.1	Q19E52
3702.AT5G17680.1	Q19E70
3702.AT4G33300.1	Q19EW5
3702.AT2G16870.1	Q19GB3
3702.AT5G18750.1	Q3E9D9
3702.AT2G39110.1	Q84VX8
3702.AT1G08125.2	Q8GWI8
3702.AT1G29990.1	Q8GYJ1
3702.AT5G55950.1	A0MFP6
3702.AT2G23960.1	O82224
3702.AT4G38090.1	Q8LDU2
3702.AT1G73480.1	Q9FX41
3702.AT1G19130.1	Q9LMB4
3702.AT5G26710.1	O65253
3702.AT2G37480.1	Q683A9
3702.AT3G02090.2	Q8H142
3702.AT3G25930.1	Q8LC54
3702.AT3G14170.1	Q9LJH1
3702.AT2G20805.1	A0MEN5
3702.AT3G22270.1	Q9LHJ0
3702.AT5G57520.1	Q29Q69
3702.AT3G46970.1	W8PUR4
3702.AT4G31420.2	Q56ZP6
3702.AT3G23340.1	Q5XVB6
3702.AT3G17310.1	Q949U6
3702.AT1G06148.2	A0MDL0
3702.AT1G59840.1	Q0WPE0
3702.AT3G02070.1	Q0WTB0
3702.AT5G07960.1	Q0WU11
3702.AT2G26260.1	Q8H193
3702.AT1G35320.1	Q9C7I2
3702.AT1G07060.1	Q9LMJ9
3702.AT2G13272.1	B3H7B8
3702.AT1G32050.1	B9DI68
3702.AT2G04842.1	F4IFC5
3702.AT2G20570.2	F4IVF9
3702.AT3G23860.1	F4J5A2
3702.AT5G04400.1	F4JW93
3702.AT5G35680.3	F4K1D3
3702.AT3G11825.1	A8MQR9
3702.AT1G55840.1	A8MRG3
3702.AT2G25482.1	A8MS74
3702.AT3G29431.1	B3H4A2
3702.AT1G01180.1	F4HS78
3702.AT1G02690.2	F4HXL3
3702.AT1G23890.2	F4I7N5
3702.AT1G31040.1	F4I7U9
3702.AT1G05950.1	F4IAF4
3702.AT2G16460.1	F4IKD6
3702.AT2G47230.2	F4IL23
3702.AT2G47410.1	F4IL44
3702.AT3G28956.1	F4J1Q7
3702.AT3G52510.1	F4J6Y4
3702.AT4G03410.2	F4JI90
3702.AT4G14810.1	F4JIG2
3702.AT4G34080.1	F4JJY4
3702.AT4G22750.2	F4JLZ5
3702.AT4G13250.1	F4JSA6
3702.AT4G14120.1	F4JUL3
3702.AT5G47620.4	F4JYK7
3702.AT5G26320.1	F4JZS7
3702.AT5G65070.3	F4KGH9
3702.AT3G32410.1	Q3E727
3702.AT3G32100.1	Q3EAT9
3702.AT1G68935.1	Q3ECF9
3702.AT3G21310.1	Q8LCJ9
3702.AT2G01130.1	Q9ZU53
3702.AT1G23770.1	C1PI78
3702.AT2G30920.1	Q8LG57
3702.AT3G15490.1	Q9M7W8
3702.AT3G29020.2	Q9MBG3
3702.AT1G08900.1	C0Z2D9
3702.AT3G29340.1	Q9LIB0
3702.AT1G53350.1	Q6XW86
3702.AT5G52220.1	Q9LTJ9
3702.AT4G13940.1	Q0WMC0
3702.AT5G63420.1	Q67YC1
3702.AT1G55380.1	Q9C8A8
3702.AT5G12420.1	Q56XB1
3702.AT3G26370.1	Q8LAU4
3702.AT3G11964.1	Q9C7B6
3702.AT3G57760.1	B9DGQ0
3702.AT2G23290.1	Q8LA62
3702.AT5G40690.1	Q8LFQ8
3702.AT2G20550.1	B9DGT9
3702.AT1G61730.1	B9DHQ9
3702.AT1G54270.1	B9DI27
3702.AT1G58470.1	G1JSI0
3702.AT5G51930.1	Q1PDK5
3702.AT2G07773.1	Q1PF85
3702.AT3G09210.1	Q8LAK7
3702.AT2G05440.2	Q8LGC0
3702.AT5G51070.1	Q94C10
3702.AT3G62610.1	Q9ZTF2
3702.AT1G08720.1	B0LY49
3702.AT1G08720.1	B0LY59
3702.AT3G44880.1	B0ZTV0
3702.AT3G48090.1	B0ZU94
3702.AT3G52430.1	B0ZUL2
3702.AT5G42800.1	B1GV22
3702.AT1G65130.1	Q9S9J3
3702.AT5G19750.1	Q8L9G1
3702.AT2G36220.1	Q8LFB6
3702.AT1G17950.1	Q9LMT5
3702.AT4G27430.1	M9P4G1
3702.AT5G03840.1	Q7Y1X3
3702.AT3G01030.1	Q9MAB7
3702.AT4G25420.1	U3N6E7
3702.AT1G24430.1	A2RVM1
3702.AT1G80030.1	B9DFS2
3702.AT2G45380.1	B9DGW8
3702.AT1G61580.1	B9DHK8
3702.AT3G01270.1	B9DHU4
3702.AT2G39580.1	O80645
3702.AT5G44500.1	Q42343
3702.AT1G66890.1	Q8L9C8
3702.AT3G13890.1	O49762
3702.AT1G63900.2	Q3YIH7
3702.AT3G18780.2	Q8GZK6
3702.AT2G26740.1	Q944I9
3702.AT1G07300.1	Q9LNU9
3702.AT5G17800.1	Q9ZTD6
3702.AT5G03870.1	B0LQD2
3702.AT1G52400.1	B0LYF9
3702.AT3G11660.1	B0LZR5
3702.AT3G48090.1	B0ZU30
3702.AT4G31500.1	B0ZUX1
3702.AT4G37000.1	B0ZV65
3702.AT1G66340.1	B0ZX64
3702.AT2G33860.1	E1A6H4
3702.AT1G02050.1	Q4JNW2
3702.AT1G67120.1	B0FU91
3702.AT1G70720.1	A0MEF6
3702.AT1G77655.1	A0MEG9
3702.AT1G30330.2	D3K050
3702.AT2G38195.1	Q84RL1
3702.AT2G32440.1	Q058Q0
3702.AT2G47470.1	Q570G2
3702.AT3G14590.2	Q9LUD5
3702.AT1G48270.1	A0A097PP41
3702.AT5G16870.1	Q8LBQ1
3702.AT1G73170.1	Q8VZD3
3702.AT1G66540.1	Q9C714
3702.AT1G33560.1	Q19IL0
3702.AT5G13930.1	Q460Q4
3702.AT5G49210.1	Q9FJ19
3702.AT3G21760.1	W8PVD4
3702.AT1G04400.1	G4WTZ0
3702.AT2G18640.1	A0MEM8
3702.AT2G24320.1	A0MEP8
3702.AT3G59280.1	Q9LX43
3702.AT5G20980.1	Q9ZPE2
3702.AT1G03160.1	Q9ZVR8
3702.AT5G55390.1	S5ZCD4
3702.AT5G60380.1	Q5XUX9
3702.AT3G12660.1	A0MEV6
3702.AT3G17580.1	A0MEW7
3702.AT1G48150.1	Q645J1
3702.AT3G62860.1	Q944J3
3702.AT5G49110.2	Q9FH23
3702.AT1G06148.2	Q9LND2
3702.AT3G03340.1	A1L4X9
3702.AT1G66960.1	Q9C624
3702.AT1G17360.1	Q9LNS2
3702.AT1G65120.2	Q9S9J2
3702.AT4G00650.1	W8QHM2
3702.AT1G02190.1	Q7DN74
3702.AT2G32660.1	Q84WI9
3702.AT1G65140.1	Q9S9J4
3702.AT1G29170.1	A0MEA0
3702.AT2G47190.1	Q94IF7
3702.AT4G28750.1	Q9FDY5
3702.AT4G14990.1	Q0WLS5
3702.AT2G18960.1	Q56WU9
3702.AT2G01070.1	Q56XK7
3702.AT1G72480.1	Q56YA4
3702.AT1G78830.1	Q56Z24
3702.AT2G30390.2	Q944J4
3702.AT2G23120.1	Q94K79
3702.AT5G37860.1	Q9FKE0
3702.AT5G51195.1	Q9LU54
3702.AT2G32820.1	Q6RF44
3702.AT2G14170.1	A8MQR6
3702.AT1G07705.2	A8MR45
3702.AT1G21327.1	B3H7I3
3702.AT1G67660.1	F4HTP8
3702.AT1G75160.1	F4HXG1
3702.AT2G20950.4	F4IFM0
3702.AT2G35330.1	F4IJV3
3702.AT2G37130.1	F4IQ05
3702.AT3G53780.2	F4JBM4
3702.AT3G01930.2	F4JD50
3702.AT3G61690.1	F4JFF2
3702.AT3G07810.2	F4JFN7
3702.AT5G01650.2	Q9SMV2
3702.AT2G16594.1	A8MQL5
3702.AT2G16881.1	B3H5Y9
3702.AT3G14040.1	O65401
3702.AT5G40950.1	Q8LEF5
3702.AT1G08750.1	Q9FRR3
3702.AT3G61250.1	Q9ZTF1
3702.AT2G22520.1	A0MEP2
3702.AT3G02125.1	A0MEU0
3702.AT3G28230.2	A0MEY9
3702.AT1G49260.1	Q9XI95
3702.AT1G17950.1	Q9ZTD9
3702.AT5G27370.1	A0MFI5
3702.AT1G65760.1	A0MFS8
3702.AT2G30680.1	O49333
3702.AT1G05200.1	C0Z3F7
3702.AT5G53350.1	Q42265
3702.AT3G12170.1	Q9C7C7
3702.AT3G54670.3	A0A097PJ95
3702.AT1G73320.1	Q5Q0D5
3702.AT5G03240.1	Q6KFR7
3702.AT2G20515.1	Q8LCX1
3702.AT5G26710.1	Q56ZE1
3702.AT3G24040.1	Q6NKY9
3702.ATMG01320.1	Q0WMI0
3702.AT2G45190.1	Q0WQ08
3702.AT5G63810.1	Q0WQB3
3702.AT5G64410.1	Q0WUW4
3702.AT3G04340.1	Q9M8Z0
3702.AT1G69900.1	Q6E284
3702.AT2G04420.1	Q8GUT3
3702.AT3G30222.1	B3H528
3702.AT3G14452.1	B3H6H4
3702.AT1G69460.1	C0Z267
3702.AT1G44990.1	F4HPL7
3702.AT1G80940.1	F4HVT3
3702.AT2G12875.1	F4IUA7
3702.AT2G32760.1	F4IUP6
3702.AT4G01890.1	F4JG70
3702.AT4G28190.2	F4JKJ1
3702.AT4G33200.1	F4JVZ4
3702.AT5G42325.1	F4K1I5
3702.AT3G21740.1	Q1EC50
3702.AT2G37680.1	A8MQJ8
3702.AT3G48208.1	A8MQX5
3702.AT3G46904.1	B3H4J2
3702.AT5G43211.1	B3H5F2
3702.AT5G65609.1	B3H6A4
3702.AT5G40981.1	B3H6G4
3702.AT1G03060.1	F4HZB2
3702.AT1G63660.1	F4I3P5
3702.AT1G63900.2	F4I570
3702.AT1G11145.1	F4I7E0
3702.AT1G41920.1	F4I7X4
3702.AT1G65130.1	F4I9U9
3702.AT1G65140.1	F4I9V0
3702.AT1G78520.1	F4IA92
3702.AT3G44716.1	F4J369
3702.AT3G01260.1	F4J5Z7
3702.AT3G61035.1	F4JD28
3702.AT3G55290.1	F4JFB9
3702.AT3G14140.1	F4JFR7
3702.AT4G22960.1	F4JMQ2
3702.AT4G36070.2	F4JNY4
3702.AT4G12780.1	F4JRG0
3702.AT4G12850.1	F4JRH4
3702.AT4G25450.1	F4JSM3
3702.AT4G19410.2	F4JT64
3702.AT5G06120.1	F4K2C2
3702.AT5G55893.1	F4K6A1
3702.AT5G02540.1	F4KCF2
3702.AT2G14890.1	Q3EC03
3702.AT1G49680.1	Q3ECT7
3702.AT5G41480.1	Q8W041
3702.AT5G51630.1	Q9FHM1
3702.AT1G17010.1	Q8GXN0
3702.AT5G28610.1	Q9LKU5
3702.AT3G09760.1	Q9SF27
3702.AT3G63350.1	J7G3I9
3702.AT2G01870.1	Q8L957
3702.AT5G08640.1	B7SFQ1
3702.AT4G30440.1	B9DHR4
3702.AT4G26900.1	B9DHU6
3702.AT1G05440.1	Q9ZVZ4
3702.AT1G31300.1	B9DGS4
3702.AT3G04810.1	B9DH51
3702.AT3G07300.3	B9DH74
3702.ATMG01320.1	G1C2T2
3702.AT4G14020.1	Q8LEX6
3702.AT5G04910.1	Q9FF82
3702.AT5G50780.1	Q9FGW3
3702.AT2G01280.1	Q9ZU39
3702.AT4G21440.1	Q8W4E0
3702.AT4G03050.2	Q944X6
3702.AT3G18170.1	Q9LV23
3702.AT1G28530.1	Q9SGQ1
3702.AT3G53490.1	Q680J6
3702.AT1G59710.1	Q9LQ43
3702.AT1G02330.1	Q9FZ28
3702.AT1G01460.1	Q08AA6
3702.AT5G06100.2	B2CUQ9
3702.AT4G01660.1	O65576
3702.AT5G05930.1	Q8LFJ7
3702.AT1G74450.1	Q8LG71
3702.AT1G61350.1	Q93ZE4
3702.AT5G10650.1	Q8LPJ6
3702.AT1G10290.1	C0Z3G3
3702.AT3G01270.1	Q56Z38
3702.AT3G14595.1	Q570F9
3702.AT4G03410.2	E1A903
3702.AT2G38170.3	M5BF18
3702.AT5G18280.2	Q0WLD2
3702.AT1G69220.1	Q56WD6
3702.AT5G64550.1	Q56X04
3702.AT4G20340.1	Q6S7C3
3702.AT3G11040.1	Q9C783
3702.AT4G00650.1	G4WTM7
3702.AT5G23590.1	Q9LT05
3702.AT1G66530.1	O23246
3702.AT4G39610.1	Q8L8Q9
3702.AT1G69100.1	Q9LQA9
3702.AT1G22860.1	Q0WPB0
3702.AT1G35610.1	Q9LQF8
3702.AT2G40190.1	W8PUX5
3702.AT4G08685.1	Q42077
3702.AT5G60390.1	Q56ZD4
3702.AT3G51240.1	Q5DWW0
3702.AT2G18790.1	Q5G8A3
3702.AT5G07990.1	Q7XJ45
3702.AT3G26170.1	Q8LCF8
3702.AT5G42690.2	Q9FMZ5
3702.AT3G29330.2	Q9LIB1
3702.AT1G62530.1	Q9SXE4
3702.AT3G57700.1	U5LUR9
3702.AT1G71380.1	Q0V7W1
3702.AT1G10890.1	Q0WNB4
3702.AT1G72180.1	Q0WPH6
3702.AT5G66810.1	Q0WQA6
3702.AT2G46900.1	Q0WQH5
3702.AT5G25160.1	Q0WT56
3702.AT1G19440.1	Q0WWR0
3702.AT1G35420.2	Q67XM5
3702.AT1G80690.1	Q681D2
3702.AT1G56230.1	Q6NKW1
3702.AT5G35190.1	Q9LHS1
3702.AT2G28540.2	B9DGN4
3702.AT3G14600.1	B9DHX3
3702.AT1G73260.1	Q93Y29
3702.AT5G57910.1	Q9FJM4
3702.AT5G51700.1	B0ZWJ8
3702.AT3G52430.1	B0ZUD4
3702.AT4G31500.1	B0ZV30
3702.AT1G66340.1	B0ZX30
3702.AT1G66340.1	B0ZXA0
3702.AT4G02950.1	E0Y428
3702.AT1G12820.1	E1A6D8
3702.AT5G65740.2	Q9FLH3
3702.AT5G12890.1	W8Q2U4
3702.AT1G77980.1	A0MEH0
3702.AT1G02580.1	A7UIS2
3702.AT4G21326.1	A7Y5V8
3702.AT2G39340.1	O80947
3702.AT5G47870.1	Q8LAJ6
3702.AT4G39235.1	Q8LEM5
3702.AT5G64710.1	Q8RX61
3702.AT5G55460.1	Q9FJ64
3702.AT5G47020.1	Q9FJQ9
3702.AT2G39800.1	Q9C5B6
3702.AT5G36740.1	Q9FG53
3702.AT3G15690.2	Q9LW10
3702.AT5G03406.1	Q9LZE8
3702.AT2G42620.1	A5YYL9
3702.AT5G66490.1	Q8L8Y9
3702.AT5G53590.1	Q9FJC5
3702.AT5G38840.1	Q9FMB8
3702.AT3G07470.1	Q9SRR9
3702.AT3G11660.1	B0LZN3
3702.AT1G58120.1	Q9C6R5
3702.AT5G57450.1	Q147M1
3702.AT3G48230.1	Q9STR5
3702.AT5G39530.1	Q9FLY2
